1 4 5
1.20553 4.02881 4.91179
1.40226 4.05527 4.8271
1.59036 4.07944 4.74585
1.77005 4.10138 4.66797
1.9415 4.12112 4.59337
2.10491 4.13874 4.52199
2.26048 4.15429 4.45374
2.40838 4.16781 4.38854
2.54883 4.17936 4.32632
2.682 4.189 4.267
2.80809 4.19678 4.2105
2.9273 4.20275 4.15674
3.0398 4.20697 4.10564
3.14581 4.2095 4.05713
3.2455 4.21037 4.01112
3.33907 4.20966 3.96755
3.42672 4.20742 3.92633
3.50862 4.20369 3.88738
3.58499 4.19853 3.85063
3.656 4.192 3.816
3.72185 4.18415 3.78341
3.78274 4.17503 3.75278
3.83884 4.1647 3.72403
3.89037 4.15322 3.69709
3.9375 4.14062 3.67188
3.98043 4.12698 3.64831
4.01936 4.11235 3.62632
4.05446 4.09677 3.60582
4.08595 4.0803 3.58674
4.114 4.063 3.569
4.13881 4.04492 3.55252
4.16058 4.02611 3.53722
4.17948 4.00663 3.52302
4.19573 3.98654 3.50985
4.2095 3.96588 3.49763
4.22099 3.9447 3.48627
4.2304 3.92308 3.47571
4.2379 3.90105 3.46586
4.24371 3.87867 3.45665
4.248 3.856 3.448
4.25097 3.83309 3.43983
4.25282 3.80999 3.43206
4.25372 3.78676 3.42461
4.25389 3.76346 3.41741
4.2535 3.74013 3.41038
4.25275 3.71682 3.40343
4.25184 3.69361 3.3965
4.25094 3.67053 3.3895
4.25027 3.64764 3.38236
4.25 3.625 3.375
4.25033 3.60266 3.36734
4.25146 3.58067 3.3593
4.25356 3.55909 3.3508
4.25685 3.53798 3.34177
4.2615 3.51737 3.33213
4.26771 3.49734 3.32179
4.27568 3.47794 3.31069
4.28558 3.45921 3.29874
4.29763 3.44121 3.28587
4.312 3.424 3.272
4.32889 3.40763 3.25705
4.3485 3.39215 3.24094
4.371 3.37762 3.22359
4.39661 3.3641 3.20493
4.4255 3.35163 3.18487
4.45787 3.34026 3.16335
4.49392 3.33007 3.14028
4.53382 3.32109 3.11558
4.57779 3.31338 3.08918
4.626 3.307 3.061
4.67865 3.302 3.03096
4.73594 3.29843 2.99898
4.79804 3.29635 2.96498
4.86517 3.29582 2.92889
4.9375 3.29688 2.89062
5.01523 3.29958 2.85011
5.09856 3.304 2.80727
5.18766 3.31017 2.76202
5.28275 3.31815 2.71429
5.384 3.328 2.664
5.49161 3.33977 2.61107
5.60578 3.35351 2.55542
5.72668 3.36928 2.49697
5.85453 3.38714 2.43565
5.9895 3.40712 2.37138
6.13179 3.4293 2.30407
6.2816 3.45373 2.23366
6.4391 3.48045 2.16006
6.60451 3.50952 2.0832
6.778 3.541 2.003
6.95977 3.57494 1.91938
7.15002 3.61139 1.83226
7.34892 3.65041 1.74156
7.55669 3.69206 1.64721
7.7735 3.73637 1.54913
7.99955 3.78342 1.44723
8.23504 3.83326 1.34145
8.48014 3.88593 1.2317
8.73507 3.94149 1.11791
9 4 1
